# Created At: Wed Oct 15 2025 13:28:25 GMT+0800 (中国标准时间)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?cellTypes=CD14-positive%2C+CD16-positive+monocyte&genes=TYROBP%2CFCER1G%2CCTSS%2CAIF1%2CFCN1%2CLST1%2CPSAP%2CLYZ%2CCOTL1%2CCD68%2CSERPINA1%2CS100A9%2CSPI1%2CTYMP%2CS100A4%2CFTL%2CC1orf162%2CSAT1%2CNPC2%2CCST3%2CITGB2%2CHLA-DPA1%2COAZ1%2CSH3BGRL3%2CHLA-DRA%2CS100A8%2CCFD%2CEMP3%2CSTXBP2%2CCFP%2CCYBB%2CLILRB2%2CTNFRSF1B%2CFGL2%2CMS4A7%2CHLA-DRB5%2CFTH1%2CHLA-DRB1%2CFCGR3A%2CCARD16%2CHLA-DPB1%2CRHOG%2CSRGN%2CLAPTM5%2CARRB2%2CARPC3%2CMS4A6A%2CASAH1%2CHCK%2CC5AR1%2CVSIR%2CTNFSF13B%2CCLEC7A%2CMNDA%2CCD74%2CCSTA%2CCYBA%2CPILRA%2CDUSP1%2CMAFB%2CARPC1B%2CNCF2%2CSLC11A1%2CS100A11%2CPLAUR%2CAP1S2%2CLILRA5%2CRHOA%2CCTSB%2CTKT%2CACTB%2CGRN%2CTIMP1%2CSLC7A7%2CPFDN5%2CAPOBEC3A%2CFPR1%2CWARS1%2CHLA-DQB1%2CLAMTOR4%2CCSF1R%2CIGSF6%2CLRRC25%2CIFI30%2CCD14%2CLCP1%2CLSP1%2CHMOX1%2CZYX%2CNAMPT%2CMPEG1%2CVASP%2CIFITM2%2CPTPN6%2CLTA4H%2CCPVL%2CTMSB10%2CFCGR2A%2CARPC5%2CTBXAS1&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: No selection
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
abdomen,aggregated,243313,31.45%,TYROBP,2.8209373039830643,0.24614909175953617,76524
abdomen,aggregated,243313,28.74%,FCER1G,2.622398700825123,0.21205625498358152,69929
abdomen,aggregated,243313,31.90%,CTSS,2.351701284668994,0.1655723839484769,77627
abdomen,aggregated,243313,23.23%,AIF1,2.642805213272238,0.21556043949460346,56524
abdomen,aggregated,243313,10.07%,FCN1,2.5713431366548334,0.20328904806222906,24507
abdomen,aggregated,243313,15.91%,LST1,2.0396958205283817,0.11199513905525182,38722
abdomen,aggregated,243313,40.57%,PSAP,2.473271447673653,0.1864482824297756,98717
abdomen,aggregated,243313,19.21%,LYZ,2.9259644756269796,0.26418424544220653,46732
abdomen,aggregated,243313,35.21%,COTL1,2.1746465244059014,0.13516872971679383,85676
abdomen,aggregated,243313,18.65%,CD68,2.1699781385686894,0.13436707948946433,45371
abdomen,aggregated,243313,13.04%,SERPINA1,2.089463661141921,0.1205412194635004,31736
abdomen,aggregated,243313,19.30%,S100A9,3.284269214392165,0.3257119522985641,46970
abdomen,aggregated,243313,11.27%,SPI1,1.7783018330477267,0.06710884285065682,27427
abdomen,aggregated,243313,33.46%,TYMP,2.3041001950006144,0.15739837569714135,81410
abdomen,aggregated,243313,57.85%,S100A4,2.7169812158542737,0.22829786339352331,140757
abdomen,aggregated,243313,93.72%,FTL,3.5171249397009166,0.36569768861898333,228030
abdomen,aggregated,243313,18.93%,C1orf162,1.9418021502779104,0.09518494260900495,46058
abdomen,aggregated,243313,53.98%,SAT1,2.5618744432092466,0.20166309414199757,131333
abdomen,aggregated,243313,37.50%,NPC2,2.26946819003781,0.1514514048126849,91245
abdomen,aggregated,243313,50.91%,CST3,2.7429319831421215,0.23275410142120578,123859
abdomen,aggregated,243313,34.75%,ITGB2,2.0845018345179107,0.11968917989783268,84559
abdomen,aggregated,243313,39.45%,HLA-DPA1,2.6552074978124542,0.21769014654276964,95998
abdomen,aggregated,243313,79.22%,OAZ1,2.324635898719598,0.16092474479531477,192752
abdomen,aggregated,243313,69.53%,SH3BGRL3,2.544151481210029,0.19861972604624695,169186
abdomen,aggregated,243313,44.26%,HLA-DRA,3.162400357020158,0.3047847623396892,107697
abdomen,aggregated,243313,13.92%,S100A8,3.1261235198145525,0.29855534262016636,33864
abdomen,aggregated,243313,10.19%,CFD,2.140823259602195,0.129360634828238,24786
abdomen,aggregated,243313,44.06%,EMP3,2.187589048363026,0.13739120610033176,107210
abdomen,aggregated,243313,7.31%,STXBP2,1.8282401479865678,0.07568419692787737,17793
abdomen,aggregated,243313,2.70%,CFP,1.8367608063412408,0.07714735527536735,6576
abdomen,aggregated,243313,19.06%,CYBB,2.25178663365536,0.14841514684519952,46373
abdomen,aggregated,243313,5.28%,LILRB2,1.9058731717753228,0.08901525681424265,12854
abdomen,aggregated,243313,16.97%,TNFRSF1B,1.9446565087647087,0.09567508999819084,41302
abdomen,aggregated,243313,12.86%,FGL2,2.020222100424893,0.10865113264869564,31302
abdomen,aggregated,243313,13.97%,MS4A7,2.087336849789638,0.12017600569079669,33989
abdomen,aggregated,243313,12.83%,HLA-DRB5,2.3434436372665237,0.1641543895606457,31213
abdomen,aggregated,243313,95.91%,FTH1,3.692942957420549,0.39588897074268636,233352
abdomen,aggregated,243313,45.17%,HLA-DRB1,2.772392065875074,0.23781295534706756,109905
abdomen,aggregated,243313,21.00%,FCGR3A,2.4676693396457234,0.18548629442563153,51090
abdomen,aggregated,243313,10.91%,CARD16,1.77268664894719,0.0661446094372977,26548
abdomen,aggregated,243313,39.14%,HLA-DPB1,2.5517565408808336,0.19992565876615168,95228
abdomen,aggregated,243313,11.73%,RHOG,1.7131819267236847,0.055926522123816276,28529
abdomen,aggregated,243313,51.78%,SRGN,2.817835529187666,0.24561645830622658,125995
abdomen,aggregated,243313,41.81%,LAPTM5,2.2938139911819353,0.15563203976923393,101723
abdomen,aggregated,243313,9.98%,ARRB2,1.7161517345803634,0.05643649435542882,24271
abdomen,aggregated,243313,72.07%,ARPC3,2.1371996381543306,0.12873839042541216,175351
abdomen,aggregated,243313,17.34%,MS4A6A,2.2155241684638356,0.14218819507257685,42196
abdomen,aggregated,243313,18.40%,ASAH1,1.8981271215301816,0.08768511334357534,44779
abdomen,aggregated,243313,3.59%,HCK,1.7419676058352402,0.06086956818047941,8740
abdomen,aggregated,243313,9.16%,C5AR1,1.9600441470924754,0.0983174388086065,22287
abdomen,aggregated,243313,8.68%,VSIR,1.739998719990056,0.06053147320709554,21118
abdomen,aggregated,243313,11.90%,TNFSF13B,1.8630628194833005,0.08166390886579382,28953
abdomen,aggregated,243313,8.03%,CLEC7A,1.7828269357501152,0.06788588865118678,19537
abdomen,aggregated,243313,11.30%,MNDA,1.994736771807137,0.10427481925207364,27491
abdomen,aggregated,243313,55.15%,CD74,2.9406930907031508,0.2667134274840904,134196
abdomen,aggregated,243313,2.27%,CSTA,1.703426856247734,0.05425139184595312,5516
abdomen,aggregated,243313,77.48%,CYBA,2.4426814227361944,0.18119539603601215,188510
abdomen,aggregated,243313,3.29%,PILRA,1.691237166224235,0.05215819130101914,8005
abdomen,aggregated,243313,37.97%,DUSP1,2.3565119333066313,0.16639846339187345,92378
abdomen,aggregated,243313,17.58%,MAFB,2.241822858236339,0.14670417797753443,42786
abdomen,aggregated,243313,29.77%,ARPC1B,1.8189116446251328,0.0740823162990893,72439
abdomen,aggregated,243313,5.17%,NCF2,1.7623507574779533,0.06436974119913275,12587
abdomen,aggregated,243313,11.57%,SLC11A1,2.026178869280233,0.10967402263113217,28148
abdomen,aggregated,243313,76.67%,S100A11,2.639887636685249,0.21505943636080765,186560
abdomen,aggregated,243313,11.65%,PLAUR,2.030984118762123,0.1104991749372733,28355
abdomen,aggregated,243313,14.40%,AP1S2,1.8861886487199977,0.08563505155006115,35039
abdomen,aggregated,243313,1.95%,LILRA5,1.8442823900426406,0.0784389535910083,4749
abdomen,aggregated,243313,50.04%,RHOA,1.9618352156057495,0.09862499917977031,121750
abdomen,aggregated,243313,36.37%,CTSB,2.465342751731697,0.18508677523522646,88497
abdomen,aggregated,243313,15.44%,TKT,1.7430701837579532,0.06105890168315304,37563
abdomen,aggregated,243313,94.97%,ACTB,3.2988952625360817,0.3282235216564442,231073
abdomen,aggregated,243313,29.12%,GRN,2.1622368527822076,0.1330377541665467,70861
abdomen,aggregated,243313,38.18%,TIMP1,2.857306255584382,0.2523943292646572,92893
abdomen,aggregated,243313,3.46%,SLC7A7,1.666158711930064,0.04785174592845731,8422
abdomen,aggregated,243313,83.49%,PFDN5,2.21715479601079,0.14246820469245147,203148
abdomen,aggregated,243313,3.46%,APOBEC3A,2.1893874015309156,0.13770001738460177,8410
abdomen,aggregated,243313,5.13%,FPR1,1.8543511823175125,0.08016795584093911,12494
abdomen,aggregated,243313,6.77%,WARS1,1.8452651594171017,0.07860771369780352,16478
abdomen,aggregated,243313,23.05%,HLA-DQB1,2.3114690486165586,0.15866374736571523,56092
abdomen,aggregated,243313,28.97%,LAMTOR4,1.7470969254940347,0.06175036947109724,70491
abdomen,aggregated,243313,11.01%,CSF1R,1.858244926629826,0.08083658545339488,26782
abdomen,aggregated,243313,5.74%,IGSF6,1.8657998416022337,0.0821339073792755,13968
