TGs,Potential_TFs,Predicted_TFBS,match_score
DDX21,REL,-,5.89887640449438
XPNPEP1,REL,-,6.17977528089888
CFAP46,REL,-,5.73033707865168
VEGFB,REL,-,6.91011235955056
SIAE,REL,-,6.06741573033708
KLRK1,REL,-,5.73033707865169
PXN,REL,-,5.95505617977528
FAM230C,REL,-,5.78651685393258
AP1G2,REL,-,5.84269662921348
GSC,REL,-,5.78651685393258
CHRNA7,REL,-,5.73033707865169
FSD2,REL,-,6.06741573033708
UBE2I,REL,-,5.78651685393259
GSG1L,REL,-,6.12359550561798
CYLD,REL,-,5.95505617977528
KIFC3,REL,-,6.01123595505618
FTSJ3,REL,-,6.40449438202247
PWWP3A,REL,-,5.95505617977528
FUT2,REL,-,6.12359550561798
PLCG1,REL,-,5.73033707865168
P4HTM,REL,-,5.73033707865168
CTBP1-AS,REL,-,5.78651685393258
ETNPPL,REL,-,5.95505617977528
LINC00240,REL,-,5.84269662921348
LY6G6C,REL,-,5.78651685393258
PTK7,REL,-,5.78651685393258
JAZF1,REL,-,6.85393258426966
AGAP3,REL,-,6.06741573033708
LINC00484,REL,-,6.06741573033708
LHX6,REL,-,5.78651685393258
CERCAM,REL,-,5.89887640449438
POMT1,REL,-,5.95505617977528
NBL1,REL,-,6.23595505617978
SYT6,REL,-,6.34831460674157
UEVLD,REL,-,5.84269662921348
FBLN5,REL,-,5.78651685393258
CCDC9B,REL,-,5.89887640449438
CTSH,REL,-,6.40449438202247
MYH11,REL,-,5.84269662921348
DOC2A,REL,-,6.17977528089888
COX4I1,REL,-,5.95505617977528
ABR,REL,-,6.17977528089888
SPATA20,REL,-,5.73033707865169
ABCA6,REL,-,5.78651685393258
HGS,REL,-,6.17977528089888
CCDC85A,REL,-,5.78651685393258
TBR1,REL,-,5.73033707865168
METTL8,REL,-,5.73033707865169
GASK1A,REL,-,5.78651685393258
DZIP1L,REL,-,5.78651685393258
EIF2B5,REL,-,5.89887640449438
CLCN2,REL,-,5.84269662921348
IK,REL,-,5.73033707865168
ZSCAN9,REL,-,5.78651685393258
TMEM244,REL,-,5.89887640449438
ICA1,REL,-,5.89887640449438
GNG11,REL,-,5.78651685393258
FAM131B,REL,-,5.78651685393258
MYOM2,REL,-,6.29213483146067
ALDOB,REL,-,6.06741573033708
AKNA,REL,-,5.73033707865169
SH3KBP1,REL,-,6.34831460674157
CCDC22,REL,-,6.17977528089888
HUWE1,REL,-,5.73033707865169
VEGFB,RELA,-,7.6063829787234
SIAE,RELA,-,6.64893617021276
